Prandtl,taux,Nu,chi
1.0,0,3.5677800342746453,1.0
60.0,0,1.2113232517430017,1.0
80.0,0,1.4329658433203547,1.0
100.0,0,1.417365645132922,1.0
1.0,0,1.3696250077864265,2.0
2.0,0,1.2074479551880148,2.0
4.0,0,1.0142870165369713,2.0
6.0,0,1.069375202738764,2.0
8.0,0,1.0810362422035937,2.0
10.0,0,1.0014860614384506,2.0
15.0,0,1.008943628369271,2.0
2.0,0,1.5074012577362448,1.0
20.0,0,1.0022639612529705,2.0
40.0,0,1.2827871804923525,2.0
60.0,0,1.7132549455730346,2.0
80.0,0,1.927410875065582,2.0
100.0,0,1.7971978929781645,2.0
1.0,0,4.524312944601855,5.0
2.0,0,3.2330649495192065,5.0
4.0,0,1.1397694139301937,5.0
6.0,0,1.1159535289790907,5.0
8.0,0,1.1230528740855672,5.0
4.0,0,3.856297551261778,1.0
10.0,0,1.2177852709517287,5.0
15.0,0,2.5133226984282455,5.0
20.0,0,2.418269499954357,5.0
40.0,0,2.9404073002263917,5.0
60.0,0,2.854611533755902,5.0
80.0,0,2.7036706387188967,5.0
100.0,0,2.9038340566710197,5.0
1.0,0,3.7948422096065935,10.0
2.0,0,1.854350858038928,10.0
4.0,0,3.5124725999396347,10.0
6.0,0,1.0973225402772189,1.0
6.0,0,2.790001869324045,10.0
8.0,0,3.0241525516189816,10.0
10.0,0,3.553595565627569,10.0
15.0,0,3.564217995348101,10.0
20.0,0,3.0318682702242565,10.0
40.0,0,3.596582170916786,10.0
60.0,0,3.490016027192935,10.0
80.0,0,3.5285097790009545,10.0
100.0,0,3.5464431736802937,10.0
1.0,0,5.512569694616353,50.0
8.0,0,1.0243019058766283,1.0
2.0,0,5.639907333160934,50.0
4.0,0,5.432223663899525,50.0
6.0,0,5.448234311613447,50.0
8.0,0,5.4396140801397905,50.0
10.0,0,5.4645319153142005,50.0
15.0,0,5.469645414463786,50.0
20.0,0,5.4377815221990735,50.0
40.0,0,5.1974653921756095,50.0
60.0,0,5.290213563924448,50.0
80.0,0,5.473969072285301,50.0
10.0,0,1.0012067518301437,1.0
100.0,0,5.363685376334975,50.0
